,,,,
,day count,df,,
2005/09/28,38623,1.000000,0,0
2005/09/29,38624,0.999942,1,0.002739726
2005/10/03,38628,0.999710,5,0.01369863
2005/10/07,38632,0.999470,9,0.024657534
2005/10/31,38656,0.998059,33,0.090410959
2005/11/30,38686,0.996281,63,0.17260274
2006/03/21,38797,0.989593,174,0.476712329
2006/06/15,38883,0.984243,260,0.712328767
2006/09/21,38981,0.977920,358,0.980821918
2006/12/20,39071,0.971923,448,1.22739726
2007/03/20,39161,0.965760,538,1.473972603
2007/06/21,39254,0.959287,631,1.728767123
2007/09/20,39345,0.952856,722,1.978082192
2007/12/19,39435,0.946414,812,2.224657534
2008/09/30,39721,0.925790,1098,3.008219178
2009/09/30,40086,0.898422,1463,4.008219178
2010/09/30,40451,0.870275,1828,5.008219178
2011/09/30,40816,0.841442,2193,6.008219178
2012/09/28,41180,0.812133,2557,7.005479452
2013/09/30,41547,0.782237,2924,8.010958904
2014/09/30,41912,0.752476,3289,9.010958904
2015/09/30,42277,0.723171,3654,10.0109589
2016/09/30,42643,0.694473,4020,11.01369863
2017/09/29,43007,0.666446,4384,12.0109589
2018/09/28,43371,0.639278,4748,13.00821918
2019/09/30,43738,0.612743,5115,14.01369863
2020/09/30,44104,0.587727,5481,15.01643836
2021/09/30,44469,0.563523,5846,16.01643836
2022/09/30,44834,0.540313,6211,17.01643836
2023/09/29,45198,0.518115,6575,18.01369863
2024/09/30,45565,0.496713,6942,19.01917808
2025/09/30,45930,0.476246,7307,20.01917808
2026/09/30,46295,0.456786,7672,21.01917808
2027/09/30,46660,0.438279,8037,22.01917808
2028/09/29,47025,0.420569,8402,23.01917808
2029/09/28,47389,0.403782,8766,24.01643836
2030/09/30,47756,0.387987,9133,25.02191781
2031/09/30,48121,0.372828,9498,26.02191781
2032/09/30,48487,0.358414,9864,27.02465753
2033/09/30,48852,0.344706,10229,28.02465753
2034/09/29,49216,0.331698,10593,29.02191781
2035/09/28,49580,0.319318,10957,30.01917808
2045/09/29,53234,0.217295,14611,40.03013699
2055/09/30,56887,0.149179,18264,50.03835616
